PricingDate,Product,Customer,Channel,Territory,ContractQuantity,InvoicePrice,InvoiceAmount,NetPrice,NetAmount,Discount,isDiscount,nContractQuantity,nInvoicePrice
12-OCT-12,Product_94,Customer_999,Channel_4,Territory_11,30,70,2100,70,2100,0,FALSE,0.643934494546704,0.271734517845586
18-SEP-12,Product_27,Customer_1623,Channel_8,Territory_111,30,51.7,1551,51.7,1551,0,FALSE,0.643934494546704,-0.00031196889443718
07-SEP-12,Product_52,Customer_1832,Channel_7,Territory_15,2,40,80,40,80,0,FALSE,-1.18643681824211,-0.23065059574175
14-AUG-12,Product_98,Customer_596,Channel_8,Territory_45,20,39,780,39,780,0,FALSE,0.36988060074668,-0.253379207253757
03-SEP-12,Product_122,Customer_837,Channel_4,Territory_27,18,90,1620,50,900,0.444444444444444,TRUE,0.298667421137886,0.497347572945112
04-JUL-12,Product_135,Customer_464,Channel_7,Territory_33,20,13,260,13,260,0,FALSE,0.36988060074668,-1.23963883632387
24-SEP-12,Product_32,Customer_1356,Channel_11,Territory_25,7,108.5,759.5,62,434,0.428571428571429,TRUE,-0.339694243704612,0.665170082035682
21-NOV-12,Product_102,Customer_230,Channel_8,Territory_94,20,7.1,142,7.1,142,0,FALSE,0.36988060074668,-1.78263626441576
27-AUG-12,Product_122,Customer_33,Channel_11,Territory_25,60,90,5400,60,3600,0.333333333333333,TRUE,1.11243272043668,0.497347572945112
14-NOV-12,Product_123,Customer_1752,Channel_7,Territory_29,1,40,40,40,40,0,FALSE,-1.65493504413209,-0.23065059574175
27-AUG-12,Product_130,Customer_26,Channel_4,Territory_21,6,107,642,89.17,535.02,0.166635514018692,TRUE,-0.443884698552114,0.652672448152333
11-DEC-12,Product_130,Customer_1696,Channel_7,Territory_38,70,107,7490,76.43,5350.1,0.285700934579439,TRUE,1.21662317528418,0.652672448152333
26-SEP-12,Product_87,Customer_1087,Channel_11,Territory_27,4,220,880,220,880,0,FALSE,-0.717938592352138,1.29975666298953
24-OCT-12,Product_135,Customer_1417,Channel_7,Territory_19,12,13,156,13,156,0,FALSE,0.0246135273378611,-1.23963883632387
