PricingDate,Product,Customer,Channel,Territory,ContractQuantity,InvoicePrice,InvoiceAmount,NetPrice,NetAmount
03-NOV-12,Product_18,Customer_1726,Channel_8,Territory_111,3,275.8,827.4,275.8,827.4
04-OCT-12,Product_97,Customer_1623,Channel_8,Territory_111,25,94.5,2362.5,94.5,2362.5
03-JUL-12,Product_126,Customer_1635,Channel_4,Territory_65,2,239,478,239,478
16-AUG-12,Product_50,Customer_1726,Channel_8,Territory_111,60,62.6,3756,62.6,3756
07-NOV-12,Product_130,Customer_494,Channel_10,Territory_57,50,82,4100,82,4100
29-NOV-12,Product_8,Customer_1496,Channel_8,Territory_12,20,12.1,242,12.1,242
10-DEC-12,Product_94,Customer_201,Channel_4,Territory_52,20,70,1400,70,1400
26-DEC-12,Product_80,Customer_162,Channel_3,Territory_21,3,146.9,440.7,146.9,440.7
06-DEC-12,Product_59,Customer_1646,Channel_4,Territory_54,98,12.5,1225,8.93,875.14
26-NOV-12,Product_52,Customer_667,Channel_7,Territory_32,1,40,40,40,40
10-SEP-12,Product_108,Customer_546,Channel_7,Territory_19,2,66.3,132.6,66.3,132.6
04-DEC-12,Product_126,Customer_1028,Channel_4,Territory_61,40,239,9560,239,9560
05-OCT-12,Product_94,Customer_1221,Channel_4,Territory_22,30,70,2100,70,2100
07-DEC-12,Product_132,Customer_1726,Channel_8,Territory_107,20,14.2,284,14.2,284
11-JUL-12,Product_40,Customer_1674,Channel_5,Territory_12,4,3586,14344,3586,14344
18-SEP-12,Product_97,Customer_1623,Channel_8,Territory_111,10,94.5,945,94.5,945
04-OCT-12,Product_123,Customer_1623,Channel_8,Territory_111,20,50,1000,50,1000
04-SEP-12,Product_41,Customer_625,Channel_4,Territory_56,5,986,4930,986,4930
26-JUL-12,Product_130,Customer_162,Channel_3,Territory_21,200,89.2,17840,89.2,17840
19-JUL-12,Product_94,Customer_983,Channel_4,Territory_21,20,70,1400,70,1400
29-NOV-12,Product_57,Customer_775,Channel_8,Territory_18,20,9.9,198,9.9,198
07-SEP-12,Product_93,Customer_1726,Channel_8,Territory_111,15,46,690,46,690
26-JUL-12,Product_79,Customer_1726,Channel_8,Territory_111,30,91,2730,91,2730
07-AUG-12,Product_126,Customer_243,Channel_10,Territory_58,20,239,4780,239,4780
27-AUG-12,Product_54,Customer_1623,Channel_8,Territory_111,10,11,110,11,110
16-AUG-12,Product_122,Customer_1726,Channel_8,Territory_111,14,57,798,57,798
01-AUG-12,Product_52,Customer_745,Channel_7,Territory_32,2,40,80,40,80
24-JUL-12,Product_71,Customer_36,Channel_5,Territory_50,100,48,4800,48,4800
18-JUL-12,Product_102,Customer_464,Channel_7,Territory_33,13,10.3,133.9,7.92,102.96
08-AUG-12,Product_17,Customer_1354,Channel_7,Territory_33,1,323.4,323.4,323.4,323.4
18-SEP-12,Product_3,Customer_414,Channel_7,Territory_28,1,404.2,404.2,404.2,404.2
21-NOV-12,Product_2,Customer_1468,Channel_8,Territory_12,10,27.1,271,27.1,271
10-AUG-12,Product_18,Customer_1674,Channel_5,Territory_12,15,257.8,3867,257.8,3867
19-OCT-12,Product_135,Customer_360,Channel_7,Territory_31,24,13,312,13,312
01-AUG-12,Product_126,Customer_1813,Channel_8,Territory_90,3,239,717,239,717
13-JUL-12,Product_30,Customer_1726,Channel_8,Territory_111,30,56,1680,56,1680
11-JUL-12,Product_47,Customer_464,Channel_7,Territory_33,6,114.8,688.8,114.8,688.8
23-NOV-12,Product_106,Customer_1256,Channel_4,Territory_63,85,50,4250,29.41,2499.85
24-OCT-12,Product_72,Customer_482,Channel_7,Territory_31,36,108.5,3906,60.28,2170.08
16-JUL-12,Product_37,Customer_1726,Channel_8,Territory_108,30,87,2610,87,2610
09-JUL-12,Product_43,Customer_1262,Channel_4,Territory_23,16,86.8,1388.8,54.25,868
26-JUL-12,Product_60,Customer_1671,Channel_8,Territory_12,6,1300,7800,1300,7800
16-AUG-12,Product_38,Customer_1726,Channel_8,Territory_111,160,140,22400,140,22400
04-OCT-12,Product_130,Customer_1542,Channel_7,Territory_28,65,107,6955,82.31,5350.15
04-DEC-12,Product_71,Customer_709,Channel_8,Territory_5,20,75,1500,75,1500
27-JUL-12,Product_31,Customer_1190,Channel_4,Territory_14,21,108.5,2278.5,51.67,1085.07
03-SEP-12,Product_32,Customer_1262,Channel_4,Territory_23,17,108.5,1844.5,63.82,1084.94
17-DEC-12,Product_71,Customer_1623,Channel_8,Territory_111,10,75,750,75,750
01-AUG-12,Product_98,Customer_464,Channel_7,Territory_33,10,42.25,422.5,42.25,422.5
29-OCT-12,Product_70,Customer_1726,Channel_8,Territory_111,100,92,9200,92,9200
19-JUL-12,Product_69,Customer_1202,Channel_11,Territory_14,1,1638,1638,1638,1638
15-DEC-12,Product_62,Customer_464,Channel_7,Territory_33,12,14,168,10.5,126
20-DEC-12,Product_20,Customer_894,Channel_4,Territory_67,48,75,3600,46.88,2250.24
16-OCT-12,Product_42,Customer_1623,Channel_8,Territory_111,7,82,574,82,574
08-NOV-12,Product_13,Customer_1073,Channel_4,Territory_11,16,97.4,1558.4,60.88,974.08
25-JUL-12,Product_5,Customer_1726,Channel_8,Territory_111,20,37,740,37,740
04-JUL-12,Product_126,Customer_36,Channel_5,Territory_50,100,198.61,19861,198.61,19861
23-NOV-12,Product_49,Customer_1671,Channel_8,Territory_12,10,57.7,577,57.7,577
22-OCT-12,Product_13,Customer_1071,Channel_4,Territory_67,16,97.4,1558.4,60.88,974.08
14-AUG-12,Product_43,Customer_1623,Channel_8,Territory_111,10,56,560,56,560
19-NOV-12,Product_106,Customer_243,Channel_10,Territory_30,40,50,2000,25,1000
13-JUL-12,Product_42,Customer_1671,Channel_8,Territory_12,4,82,328,82,328
05-SEP-12,Product_131,Customer_1726,Channel_8,Territory_110,6,2350,14100,1175,7050
17-JUL-12,Product_100,Customer_1677,Channel_4,Territory_10,170,64.5,10965,37.94,6449.8
20-DEC-12,Product_108,Customer_1726,Channel_8,Territory_111,20,66.3,1326,66.3,1326
06-DEC-12,Product_132,Customer_1623,Channel_8,Territory_107,2,14.2,28.4,14.2,28.4
26-SEP-12,Product_21,Customer_1073,Channel_4,Territory_11,6,90,540,75,450
10-OCT-12,Product_7,Customer_740,Channel_4,Territory_21,15,25,375,16.67,250.05
16-JUL-12,Product_78,Customer_1309,Channel_4,Territory_54,10,7,70,3.5,35
03-SEP-12,Product_108,Customer_1726,Channel_8,Territory_111,15,66.3,994.5,66.3,994.5
03-SEP-12,Product_35,Customer_1398,Channel_7,Territory_28,70,18.2,1274,13,910
14-AUG-12,Product_47,Customer_1623,Channel_8,Territory_111,3,114.8,344.4,114.8,344.4
05-SEP-12,Product_68,Customer_1656,Channel_4,Territory_10,40,45,1800,22.5,900
16-AUG-12,Product_30,Customer_990,Channel_4,Territory_21,16,86.8,1388.8,54.25,868
03-SEP-12,Product_27,Customer_517,Channel_11,Territory_23,15,51.7,775.5,51.7,775.5
20-NOV-12,Product_59,Customer_1398,Channel_7,Territory_28,77,12.5,962.5,8.12,625.24
11-SEP-12,Product_126,Customer_1406,Channel_7,Territory_65,4,243.8,975.2,243.8,975.2
14-NOV-12,Product_47,Customer_1623,Channel_8,Territory_111,5,114.8,574,114.8,574
07-AUG-12,Product_49,Customer_1710,Channel_10,Territory_75,28,62.5,1750,62.5,1750
27-SEP-12,Product_126,Customer_1623,Channel_8,Territory_111,10,239,2390,239,2390
14-DEC-12,Product_72,Customer_894,Channel_4,Territory_67,74,108.5,8029,58.65,4340.1
15-AUG-12,Product_126,Customer_1762,Channel_7,Territory_66,10,243.8,2438,243.8,2438
10-SEP-12,Product_34,Customer_1757,Channel_5,Territory_74,50,25.12,1256,25.12,1256
28-DEC-12,Product_130,Customer_1713,Channel_7,Territory_32,70,107,7490,76.43,5350.1
16-JUL-12,Product_38,Customer_1726,Channel_8,Territory_111,10,140,1400,140,1400
26-DEC-12,Product_71,Customer_36,Channel_5,Territory_50,300,48,14400,48,14400
07-SEP-12,Product_72,Customer_1757,Channel_5,Territory_74,150,37.24,5586,37.24,5586
23-OCT-12,Product_94,Customer_788,Channel_4,Territory_63,5,70,350,70,350
01-NOV-12,Product_31,Customer_482,Channel_7,Territory_31,37,108.5,4014.5,58.65,2170.05
10-OCT-12,Product_69,Customer_1674,Channel_5,Territory_12,12,1638,19656,1638,19656
09-OCT-12,Product_98,Customer_464,Channel_7,Territory_33,20,42.25,845,42.25,845
14-SEP-12,Product_94,Customer_1059,Channel_4,Territory_14,30,70,2100,70,2100
14-SEP-12,Product_100,Customer_1757,Channel_5,Territory_74,150,29.9,4485,29.9,4485
04-DEC-12,Product_91,Customer_1429,Channel_4,Territory_11,30,30,900,20,600
17-OCT-12,Product_59,Customer_1190,Channel_4,Territory_14,29,12.5,362.5,8.62,249.98
